Country,iso3,State,Region,Date,Measure_L1,Measure_L2,Measure_L3,Measure_L4,Status,Comment,Source,,
United States of America,USA,Alabama,Alabama,3/6/20,Resource allocation,Activate or establish emergency response,Risk management plan,Set up crisis unit (national),,Task force for the state of Alabama,https://governor.alabama.gov/newsroom/2020/03/governor-ivey-establishes-coronavirus-covid-19-task-force/,,
United States of America,USA,Alabama,Alabama,3/13/20,Risk communication,Educate and actively communicate with the public,Encourage hand hygiene,,,,https://governor.alabama.gov/newsroom/2020/03/governor-ivey-releases-statement-on-alabamas-first-confirmed-coronavirus-case/,,
United States of America,USA,Alabama,Alabama,3/13/20,Resource allocation,Activate or establish emergency response,Declare state of emergency,,,,https://governor.alabama.gov/newsroom/2020/03/state-of-emergency-coronavirus-covid-19/,,
United States of America,USA,Alabama,Alabama,3/13/20,Risk communication,Educate and actively communicate with the public,Respiratory etiquette,Advice campaign for not touching eyes/nose/mouth,,,https://governor.alabama.gov/newsroom/2020/03/governor-ivey-releases-statement-on-alabamas-first-confirmed-coronavirus-case/,,
United States of America,USA,Alabama,Alabama,3/13/20,Risk communication,Educate and actively communicate with the public,Respiratory etiquette,Advice campaign for sneezing/coughing in the elbow,,,https://governor.alabama.gov/newsroom/2020/03/governor-ivey-releases-statement-on-alabamas-first-confirmed-coronavirus-case/,,
United States of America,USA,Alabama,Alabama,3/13/20,Risk communication,Educate and actively communicate with the public,Promote self-initiated isolation of people with mild respiratory symptoms,,,staying home if people have fever,https://governor.alabama.gov/newsroom/2020/03/governor-ivey-releases-statement-on-alabamas-first-confirmed-coronavirus-case/,,
United States of America,USA,Alabama,Alabama,3/13/20,Social distancing,Mass gathering cancellation,Limit up to 500 persons,,,,https://governor.alabama.gov/newsroom/2020/03/governor-ivey-releases-statement-on-alabamas-first-confirmed-coronavirus-case/,,
United States of America,USA,Alabama,Alabama,3/18/20,Social distancing,Mass gathering cancellation,Measures for elections,Elections postponed,,Postponement of the Primary Runoff Election,https://governor.alabama.gov/newsroom/2020/03/gov-ivey-announces-new-primary-runoff-election-date/,,
United States of America,USA,Alabama,Alabama,3/19/20,Social distancing,Small gathering cancellation,Limit up to 25 persons,,,,https://governor.alabama.gov/newsroom/2020/03/governor-ivey-issues-statement-on-statewide-public-health-order/,,
United States of America,USA,Alabama,Alabama,3/19/20,Risk communication,Educate and actively communicate with the public,Promote social distancing measures,Promote the 2m distance,,distance of 6 feet,https://governor.alabama.gov/newsroom/2020/03/governor-ivey-issues-statement-on-statewide-public-health-order/,,
United States of America,USA,Alabama,Alabama,3/19/20,Social distancing,Small gathering cancellation,Closure of restaurants/bars/cafes,Partial,,no on-premises consumption of food or drink,https://governor.alabama.gov/newsroom/2020/03/governor-ivey-issues-statement-on-statewide-public-health-order/,,
United States of America,USA,Alabama,Alabama,3/19/20,Social distancing,Mass gathering cancellation,Closure of non-essential public places,Beaches,,,https://governor.alabama.gov/newsroom/2020/03/governor-ivey-issues-statement-on-statewide-public-health-order/,,
United States of America,USA,Alabama,Alabama,3/19/20,Social distancing,Measures for special populations,Measures to limit contact to long-term care facilities,Close long-term care facilities for visitors,,,https://governor.alabama.gov/newsroom/2020/03/governor-ivey-issues-statement-on-statewide-public-health-order/,,
United States of America,USA,Alabama,Alabama,3/19/20,Social distancing,Measures for special populations,Measures to limit contact to hospital patients,Close hospitals for visitors,,except for certain compassionate care situations such as maternity and end-of-life,https://governor.alabama.gov/newsroom/2020/03/governor-ivey-issues-statement-on-statewide-public-health-order/,,
United States of America,USA,Alabama,Alabama,3/19/20,Healthcare and public health capacity,Increase patient capacity,Postponement of non-essential care and non-urgent operations in hospitals,,,All elective dental and medical procedures shall be delayed,https://governor.alabama.gov/newsroom/2020/03/governor-ivey-issues-statement-on-statewide-public-health-order/,,
United States of America,USA,Alabama,Alabama,3/19/20,Resource allocation,Police and army interventions,To support essential workers,To assist healthcare professionals,,"Governor Kay Ivey announced today that she has given authorization to Adjutant General Sheryl Gordon with the Alabama National Guard to activate up to 100 guardsmen, should the need arise to combat COVID-19. There is no determined need for formal assistance at this time, nor is there a plan for the Guard to operate as any type of enforcement of public health orders. This action strictly serves as a preparedness measure, should first responders or health care providers need additional support.",https://governor.alabama.gov/newsroom/2020/03/governor-ivey-issues-statement-on-authorization-of-alabama-national-guard-on-as-needed-basis/,,
United States of America,USA,Alabama,Alabama,3/20/20,Social distancing,Closure of educational institutions,Complete closure of kindergartens,,,Preschools and childcare centers will be closed,https://governor.alabama.gov/newsroom/2020/03/governor-ivey-issues-statement-on-statewide-public-health-order/,,
United States of America,USA,Alabama,Alabama,3/20/20,Social distancing,Closure of educational institutions,Complete closure of primary and secondary schools,,,"Educational institutions and child day care facilities: closure of schools: elementary, secondary, postsecondary, technical, speciality schools, colleges and universities",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
United States of America,USA,Alabama,Alabama,3/20/20,Social distancing,Closure of educational institutions,Complete closure of universities,,,"Educational institutions and child day care facilities: closure of schools: elementary, secondary, postsecondary, technical, speciality schools, colleges and universities",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
United States of America,USA,Alabama,Alabama,3/20/20,Social distancing,Measures for special populations,Measures to limit contact to hospital patients,Closed to visitors,,"Hospitals and similar institutions. Effective March 20, 2020, all Hospitals and Nursing Home/Long Term Care Facilities (including Assisted Living and Specialty Care Assisted Living Facilities) shall prohibit visitation of all visitors, as defined by the facility, and non-essential health care personnel, except for certain compassionate care situations such as maternity, end-of-life, and support for persons with disabilities.",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
United States of America,USA,Alabama,Alabama,3/20/20,Social distancing,Mass gathering cancellation,Closure of adult daycare facilities,Closure of senior centers and adult daycare facilities,,"Senior Citizen Centers. Effective March 20, 2020, all regular programs at Senior Citizen Centers shall be ended except that Senior Citizen Centers and their partners are urged to assure that their clients continue to receive needed meals via curbside pick-up or delivery.",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
United States of America,USA,Alabama,Alabama,3/21/20,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,Economic support to small and medium enterprises,,up to $2 million for small businesses across Alabama negatively impacted by the coronavirus pandemic,https://governor.alabama.gov/newsroom/2020/03/gov-ivey-alabama-small-businesses-can-seek-sba-covid-19-disaster-loans/,,
United States of America,USA,Alabama,Alabama,3/23/20,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,Partial or total deferral of tax payments for businesses,,"the state income tax filing due date is extended. Other taxes included in the deadline extension are corporate income tax, the Financial Institution Excise Tax (FIET), and the Business Privilege Tax (BPT).",https://governor.alabama.gov/newsroom/2020/03/governor-ivey-delays-state-tax-filings/,,
United States of America,USA,Alabama,Alabama,3/26/20,Social distancing,Mass gathering cancellation,Implement e-learning,Methodology for school digitalization,,"Alternative methods of instruction for the 2019-20 school year: beginning at the start of school on April 6 2020, all public K-12 (Kindergarten to 12th grade, ie end of high school) schools shall implement a plan to complete the 2019-20 school year using alternate methods of instruction as established by the State Superintendant of Education. Local school districts shall make staffing decisions and deerminations related to access to school buildings in accordance with all applicable public health orders and the recommendations of Centers for Disease Control and Prevention and the Alabama Department of Public Health",https://governor.alabama.gov/newsroom/2020/03/fourth-supplemental-state-of-emergency-coronavirus-covid-19/,,
United States of America,USA,Alabama,Alabama,3/26/20,Resource allocation,Crisis management plans,Administrative procedures facilitated,Implement remote administrative procedures,,"Notaries and witnesses: reduce the necessity of in-person meetings. Allow remote notarizing, witnessing and signature of documents by visioconference tools. Electronic transaction for state agencies possible",https://governor.alabama.gov/newsroom/2020/03/fourth-supplemental-state-of-emergency-coronavirus-covid-19/,,
United States of America,USA,Alabama,Alabama,3/26/20,Social distancing,Special measures for certain establishments,Prisons and youth detention centers,Summons in lieu of arrest,,"Summonses in lieu of arrest: Because the conditions of jails inherently heighten the possibility of COVID-19 transmission, I find that it would promote the safety and protection of the civilian population to adopt measures that reduce the movement of persons intro and out of county and municipal jails in a way that does not jeopardize public safety. To that end: A county or municipality may authorize law enforcement officers to issue a summons and complaint in lieu of custodial arrest for any violation or misdemeanor except as provided below, may not authorize a law enforcement officer to issue a summons and complaint in lieu of arrest in any of the following circumstances: the person is charged with committing a crime involving violence, threat of violence, domestic violence, the person is charged with the use or possession of alcohol or a controlled substance and poses a risk to public safety, a victim of the crime is a minor, the person in charged with dribing under the influence, the person is charged with a crime that would require restitution to the victim.",https://governor.alabama.gov/newsroom/2020/03/fourth-supplemental-state-of-emergency-coronavirus-covid-19/,,
United States of America,USA,Alabama,Alabama,3/28/20,Social distancing,Small gathering cancellation,Restriction on private and familial events,Funerals and weddings: Limit up to 10 persons,,"Non-work related gatherings. Effective March 28, 2020, at 5:00 P.M., all non-work related gatherings of 10 persons or more, or non-work related gatherings of any size that cannot maintain a consistent six-foot distance between persons from different households, are prohibited. But “drive-in” gatherings of any size are permitted if the participants adhere to the following rules: All participants shall remain in their vehicles for the entirety of the event, The participants in each vehicle must all share the same household, Participants shall not come within six feet of participants in other vehicles. purposes of this paragraph, “non-work related gathering” includes church services, weddings, funeral services, social gatherings, concerts, festivals, sporting events, and similar events.",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
United States of America,USA,Alabama,Alabama,3/28/20,Social distancing,Small gathering cancellation,Limit up to 10 persons,Except drive-in gatherings if the participants respect social distancing rules,,"Non-work related gatherings. Effective March 28, 2020, at 5:00 P.M., all non-work related gatherings of 10 persons or more, or non-work related gatherings of any size that cannot maintain a consistent six-foot distance between persons from different households, are prohibited. But “drive-in” gatherings of any size are permitted if the participants adhere to the following rules: All participants shall remain in their vehicles for the entirety of the event, The participants in each vehicle must all share the same household, Participants shall not come within six feet of participants in other vehicles. purposes of this paragraph, “non-work related gathering” includes church services, weddings, funeral services, social gatherings, concerts, festivals, sporting events, and similar events.",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
United States of America,USA,Alabama,Alabama,3/28/20,Social distancing,Mass gathering cancellation,Cultural places and events,Closure of entertainment venues,,"Higher-risk businesses and activities. Effective March 28, 2020, at 5:00 P.M., and notwithstanding any other provision of this order, the following businesses, venues, and activities shall be closed to non-employees or not take place: Entertainment venues as follows: nights clubs, bowling alleys, arcades, concert venues, theaters, auditoriums, performing art centers, tourist attractions, museums, planetarium, racetracks, indoor children's play areas, adult entertainment venues, casinos, bingo halls, venues operated by social clubs.",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
United States of America,USA,Alabama,Alabama,3/28/20,Social distancing,Mass gathering cancellation,Indoor activities,Fitness centers and gyms,,"Closure of Athletic facilities: fitness centers and commercial gyms, spas, yoga, barre, spin facilities, sports involving interaction with another person of close than 6 feet, activities that require use of shared sporting apparatus and equipment, acitivities on commercial or public playgroung equipment.",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
United States of America,USA,Alabama,Alabama,3/28/20,Social distancing,Small gathering cancellation,Closure of non-essential shops,"Closure of barber shops, hair salons, waxing salons, thrading salons, nail salons and spas, body art facilities and tattoo services, massage therapy establishments and services",,"Closure of Close-contact service providers: barber shops, hair salons, waxing salons, thrading salons, nail salons and spas, body art facilities and tattoo services, massage therapy establishments and services.",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
