FID,county_fip,week_start,uniq_users,total_post,pos_sntmnt,neu_sntmnt,neg_sntmnt,sntmnt_bal,current_fl,name,timeseries,word_cloud,has_charts,Shape__Area,Shape__Length
32,01001,total,3023.000000000000000,11594.000000000000000,4483.000000000000000,2771.000000000000000,4340.000000000000000,143.000000000000000,total,Autauga County,https://spatial-covid-wordclouds.s3.amazonaws.com/time_series/01001.png,https://spatial-covid-wordclouds.s3.amazonaws.com/word_clouds/01001.png,1,2208728501.640629768371582,247926.443848792987410
64,01003,total,547.000000000000000,1673.000000000000000,752.000000000000000,485.000000000000000,436.000000000000000,316.000000000000000,total,Baldwin County,https://spatial-covid-wordclouds.s3.amazonaws.com/time_series/01003.png,https://spatial-covid-wordclouds.s3.amazonaws.com/word_clouds/01003.png,1,5907794470.751950263977051,510014.917090989998542
96,01005,total,21.000000000000000,155.000000000000000,88.000000000000000,39.000000000000000,28.000000000000000,60.000000000000000,total,Barbour County,https://spatial-covid-wordclouds.s3.amazonaws.com/time_series/01005.png,https://spatial-covid-wordclouds.s3.amazonaws.com/word_clouds/01005.png,1,3257859770.320310115814209,304300.725756420986727
128,01007,total,13.000000000000000,20.000000000000000,9.000000000000000,7.000000000000000,4.000000000000000,5.000000000000000,total,Bibb County, , ,0,2312581577.699220180511475,227851.433320815005573
160,01009,total,21.000000000000000,31.000000000000000,9.000000000000000,14.000000000000000,8.000000000000000,1.000000000000000,total,Blount County, , ,0,2456906240.496089935302734,287536.840253891015891
192,01011,total,4.000000000000000,4.000000000000000,1.000000000000000,0.000000000000000,3.000000000000000,-2.000000000000000,total,Bullock County, , ,0,2263036887.984379768371582,244685.643088435987011
224,01013,total,11.000000000000000,23.000000000000000,11.000000000000000,6.000000000000000,6.000000000000000,5.000000000000000,total,Butler County, , ,0,2794408459.937500000000000,219117.107560750009725
256,01015,total,239.000000000000000,907.000000000000000,344.000000000000000,216.000000000000000,347.000000000000000,-3.000000000000000,total,Calhoun County,https://spatial-covid-wordclouds.s3.amazonaws.com/time_series/01015.png,https://spatial-covid-wordclouds.s3.amazonaws.com/word_clouds/01015.png,1,2300952227.527339935302734,263035.883498881012201
288,01017,total,24.000000000000000,411.000000000000000,133.000000000000000,59.000000000000000,219.000000000000000,-86.000000000000000,total,Chambers County,https://spatial-covid-wordclouds.s3.amazonaws.com/time_series/01017.png,https://spatial-covid-wordclouds.s3.amazonaws.com/word_clouds/01017.png,1,2219634556.390629768371582,203438.780679935996886
320,01019,total,18.000000000000000,36.000000000000000,19.000000000000000,15.000000000000000,2.000000000000000,17.000000000000000,total,Cherokee County, , ,0,2275654678.214839935302734,236153.079717490007170
352,01021,total,17.000000000000000,30.000000000000000,19.000000000000000,4.000000000000000,7.000000000000000,12.000000000000000,total,Chilton County, , ,0,2578520257.550779819488525,248267.252789780002786
384,01023,total,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,total,Choctaw County, , ,0,3328280985.234379768371582,324617.012623023008928
416,01025,total,11.000000000000000,34.000000000000000,12.000000000000000,5.000000000000000,17.000000000000000,-5.000000000000000,total,Clarke County, , ,0,4493113592.589839935302734,454064.594769946997985
448,01027,total,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,total,Clay County, , ,0,2250874255.179689884185791,244230.085607252985938
480,01029,total,4.000000000000000,4.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,4.000000000000000,total,Cleburne County, , ,0,2103786737.550780057907104,264572.274962803989183
512,01031,total,39.000000000000000,92.000000000000000,35.000000000000000,29.000000000000000,28.000000000000000,7.000000000000000,total,Coffee County,https://spatial-covid-wordclouds.s3.amazonaws.com/time_series/01031.png,https://spatial-covid-wordclouds.s3.amazonaws.com/word_clouds/01031.png,1,2426789797.291019916534424,203445.418229172006249
544,01033,total,66.000000000000000,264.000000000000000,109.000000000000000,49.000000000000000,106.000000000000000,3.000000000000000,total,Colbert County,https://spatial-covid-wordclouds.s3.amazonaws.com/time_series/01033.png,https://spatial-covid-wordclouds.s3.amazonaws.com/word_clouds/01033.png,1,2389358663.531250000000000,267561.209484075021464
576,01035,total,2.000000000000000,3.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,total,Conecuh County, , ,0,3042685331.007810115814209,304808.389569667982869
608,01037,total,1.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,total,Coosa County, , ,0,2457228200.949220180511475,207702.722666863002814
640,01039,total,13.000000000000000,61.000000000000000,31.000000000000000,16.000000000000000,14.000000000000000,17.000000000000000,total,Covington County, , ,0,3710587789.851560115814209,283541.469961026974488
672,01041,total,3.000000000000000,3.000000000000000,1.000000000000000,2.000000000000000,0.000000000000000,1.000000000000000,total,Crenshaw County, , ,0,2193857950.917970180511475,278255.211102584027685
704,01043,total,73.000000000000000,235.000000000000000,134.000000000000000,56.000000000000000,45.000000000000000,89.000000000000000,total,Cullman County,https://spatial-covid-wordclouds.s3.amazonaws.com/time_series/01043.png,https://spatial-covid-wordclouds.s3.amazonaws.com/word_clouds/01043.png,1,2861139911.667970180511475,292529.747520887001883
736,01045,total,37.000000000000000,83.000000000000000,43.000000000000000,21.000000000000000,19.000000000000000,24.000000000000000,total,Dale County, , ,0,2007535007.474610090255737,199181.712931846006541
768,01047,total,34.000000000000000,100.000000000000000,51.000000000000000,19.000000000000000,30.000000000000000,21.000000000000000,total,Dallas County, , ,0,3614957988.148439884185791,359949.604306222987361
800,01049,total,31.000000000000000,42.000000000000000,18.000000000000000,8.000000000000000,16.000000000000000,2.000000000000000,total,DeKalb County, , ,0,2973935207.648439884185791,273050.222805715980940
832,01051,total,110.000000000000000,259.000000000000000,112.000000000000000,87.000000000000000,60.000000000000000,52.000000000000000,total,Elmore County,https://spatial-covid-wordclouds.s3.amazonaws.com/time_series/01051.png,https://spatial-covid-wordclouds.s3.amazonaws.com/word_clouds/01051.png,1,2404288965.222660064697266,271957.896333930024412
864,01053,total,19.000000000000000,43.000000000000000,14.000000000000000,11.000000000000000,18.000000000000000,-4.000000000000000,total,Escambia County, , ,0,3378493811.873050212860107,287551.366687063011341
896,01055,total,144.000000000000000,454.000000000000000,186.000000000000000,116.000000000000000,152.000000000000000,34.000000000000000,total,Etowah County,https://spatial-covid-wordclouds.s3.amazonaws.com/time_series/01055.png,https://spatial-covid-wordclouds.s3.amazonaws.com/word_clouds/01055.png,1,2075150162.359380006790161,248575.915540960006183
928,01057,total,6.000000000000000,9.000000000000000,3.000000000000000,2.000000000000000,4.000000000000000,-1.000000000000000,total,Fayette County, , ,0,2362314970.718750000000000,222344.171865157986758
960,01059,total,23.000000000000000,78.000000000000000,20.000000000000000,36.000000000000000,22.000000000000000,-2.000000000000000,total,Franklin County,https://spatial-covid-wordclouds.s3.amazonaws.com/time_series/01059.png,https://spatial-covid-wordclouds.s3.amazonaws.com/word_clouds/01059.png,1,2468675427.386720180511475,210512.815818739996757
992,01061,total,9.000000000000000,10.000000000000000,5.000000000000000,1.000000000000000,4.000000000000000,1.000000000000000,total,Geneva County, , ,0,2051197261.492189884185791,211978.480688229989028
1024,01063,total,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,total,Greene County, , ,0,2428591464.656250000000000,420269.328966945002321
1056,01065,total,9.000000000000000,26.000000000000000,8.000000000000000,5.000000000000000,13.000000000000000,-5.000000000000000,total,Hale County, , ,0,2410797250.796879768371582,298707.694015485001728
1088,01067,total,10.000000000000000,16.000000000000000,7.000000000000000,5.000000000000000,4.000000000000000,3.000000000000000,total,Henry County, , ,0,2031638162.843750000000000,196274.691101267002523
1120,01069,total,129.000000000000000,455.000000000000000,179.000000000000000,129.000000000000000,147.000000000000000,32.000000000000000,total,Houston County,https://spatial-covid-wordclouds.s3.amazonaws.com/time_series/01069.png,https://spatial-covid-wordclouds.s3.amazonaws.com/word_clouds/01069.png,1,2063130491.158200025558472,244233.336711284006014
1152,01071,total,40.000000000000000,95.000000000000000,52.000000000000000,32.000000000000000,11.000000000000000,41.000000000000000,total,Jackson County, , ,0,4336875733.000000000000000,318268.199196137022227
1184,01073,total,1736.000000000000000,8141.000000000000000,3663.000000000000000,1933.000000000000000,2545.000000000000000,1118.000000000000000,total,Jefferson County,https://spatial-covid-wordclouds.s3.amazonaws.com/time_series/01073.png,https://spatial-covid-wordclouds.s3.amazonaws.com/word_clouds/01073.png,1,4202224127.210939884185791,349028.730260735028423
1216,01075,total,2.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,total,Lamar County, , ,0,2276269989.476560115814209,206340.506243425013963
1248,01077,total,132.000000000000000,443.000000000000000,177.000000000000000,147.000000000000000,119.000000000000000,58.000000000000000,total,Lauderdale County,https://spatial-covid-wordclouds.s3.amazonaws.com/time_series/01077.png,https://spatial-covid-wordclouds.s3.amazonaws.com/word_clouds/01077.png,1,2783344737.269529819488525,291548.363568799977656
1280,01079,total,15.000000000000000,62.000000000000000,19.000000000000000,25.000000000000000,18.000000000000000,1.000000000000000,total,Lawrence County, , ,0,2742269774.789060115814209,234081.241886561998399
1312,01081,total,473.000000000000000,1758.000000000000000,726.000000000000000,450.000000000000000,582.000000000000000,144.000000000000000,total,Lee County,https://spatial-covid-wordclouds.s3.amazonaws.com/time_series/01081.png,https://spatial-covid-wordclouds.s3.amazonaws.com/word_clouds/01081.png,1,2254516787.750000000000000,235385.341215533990180
1344,01083,total,72.000000000000000,268.000000000000000,135.000000000000000,65.000000000000000,68.000000000000000,67.000000000000000,total,Limestone County,https://spatial-covid-wordclouds.s3.amazonaws.com/time_series/01083.png,https://spatial-covid-wordclouds.s3.amazonaws.com/word_clouds/01083.png,1,2338573554.140629768371582,207789.239542369992705
1376,01085,total,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,total,Lowndes County, , ,0,2627669889.003910064697266,277552.040041946980637
1408,01087,total,59.000000000000000,219.000000000000000,69.000000000000000,76.000000000000000,74.000000000000000,-5.000000000000000,total,Macon County,https://spatial-covid-wordclouds.s3.amazonaws.com/time_series/01087.png,https://spatial-covid-wordclouds.s3.amazonaws.com/word_clouds/01087.png,1,2233631181.347660064697266,240051.886029624991352
1440,01089,total,819.000000000000000,3631.000000000000000,1536.000000000000000,986.000000000000000,1109.000000000000000,427.000000000000000,total,Madison County,https://spatial-covid-wordclouds.s3.amazonaws.com/time_series/01089.png,https://spatial-covid-wordclouds.s3.amazonaws.com/word_clouds/01089.png,1,3126248380.339839935302734,292899.699105350009631
1472,01091,total,12.000000000000000,25.000000000000000,9.000000000000000,9.000000000000000,7.000000000000000,2.000000000000000,total,Marengo County, , ,0,3568477053.601560115814209,316246.592129125026986
