"DateTime","2020 7-day moving average","2020 Number of flights","2019 7-day moving average","2019 Number of flights"
"2019-12-25",,,,82221
"2019-12-26",,,,101989
"2019-12-27",,,,110020
"2019-12-28",,,,111119
"2019-12-29",,,,103965
"2019-12-30",,,,101522
"2019-12-31",,,,94137
"2020-01-01",108395,97332,102167,92417
"2020-01-02",109083,113603,103033,108056
"2020-01-03",109020,117059,103196,111162
"2020-01-04",108889,108566,103128,110640
"2020-01-05",109028,110585,102787,101581
"2020-01-06",109401,114634,103037,103271
"2020-01-07",110699,113120,105061,108303
"2020-01-08",112784,111921,106999,105980
"2020-01-09",113028,115315,106891,107304
"2020-01-10",113094,117523,106436,107977
"2020-01-11",112128,101804,106176,108821
"2020-01-12",111337,105043,105396,96122
"2020-01-13",111079,112827,104549,97340
"2020-01-14",110793,111118,104209,105921
"2020-01-15",111014,113468,104024,104686
"2020-01-16",111126,116101,103896,106409
"2020-01-17",111218,118166,104050,109056
"2020-01-18",111329,102580,104458,111675
"2020-01-19",111249,104487,104300,95019
"2020-01-20",111451,114237,103992,95178
"2020-01-21",111866,114029,103909,105342
"2020-01-22",111905,113739,104033,105554
"2020-01-23",111988,116682,103952,105845
"2020-01-24",111692,116092,103973,109199
"2020-01-25",111474,101054,104119,112697
"2020-01-26",111437,104232,104612,98473
"2020-01-27",111052,111541,105182,99170
"2020-01-28",110365,109218,105050,104414
"2020-01-29",109742,109380,105035,105449
"2020-01-30",109033,111720,105084,106189
"2020-01-31",108538,112625,105011,108685
"2020-02-01",107920,96729,104960,112340
"2020-02-02",106937,97348,105079,99308
"2020-02-03",106023,105145,104914,98014
"2020-02-04",105043,102355,104895,104285
"2020-02-05",104168,103257,104867,105253
"2020-02-06",103129,104450,105042,107413
"2020-02-07",102282,106693,105114,109191
"2020-02-08",102029,94955,105055,111924
"2020-02-09",101403,92966,104956,98617
"2020-02-10",100733,100456,105190,99653
"2020-02-11",100466,100490,105622,107305
"2020-02-12",100332,102317,105488,104319
"2020-02-13",100395,104892,105297,106070
"2020-02-14",100782,109400,105724,112182
"2020-02-15",100772,94885,106192,115200
"2020-02-16",100926,94042,106544,101085
"2020-02-17",101059,101389,106606,100082
"2020-02-18",101298,102167,106757,108364
"2020-02-19",101705,105160,107260,107843
"2020-02-20",101882,106132,107225,105819
"2020-02-21",101872,109334,107084,111195
"2020-02-22",102030,95989,106857,113617
"2020-02-23",102449,96973,106751,100342
"2020-02-24",102687,103057,106964,101570
"2020-02-25",102799,102950,107007,108668
"2020-02-26",102774,104989,107356,110283
"2020-02-27",102910,107084,108085,110924
"2020-02-28",102967,109732,108302,112716
"2020-02-29",102957,95917
"2020-03-01",103397,100050,108395,114268
"2020-03-02",103761,105611,108441,100658
"2020-03-03",104001,104630,108405,101318
"2020-03-04",104064,105430,108250,107588
"2020-03-05",104161,107758,108180,109792
"2020-03-06",104086,109212,108245,111380
"2020-03-07",103987,95221,108247,112731
"2020-03-08",103818,98866,108199,113926
"2020-03-09",103299,101977,108183,100547
"2020-03-10",102651,100099,108574,104057
"2020-03-11",102116,101682,109198,111957
"2020-03-12",101297,102027,109203,109823
"2020-03-13",100363,102669,108891,109202
"2020-03-14",99517,89302,108651,111048
"2020-03-15",98288,90265,108772,114771
