"","stateFIPS","countyFIPS","geoID","county","state"
"1","01","027","01027","clay","alabama"
"2","01","093","01093","marion","alabama"
"3","01","057","01057","fayette","alabama"
"4","01","017","01017","chambers","alabama"
"5","01","103","01103","morgan","alabama"
"6","01","133","01133","winston","alabama"
"7","01","075","01075","lamar","alabama"
"8","01","107","01107","pickens","alabama"
"9","01","013","01013","butler","alabama"
"10","01","045","01045","dale","alabama"
"11","01","023","01023","choctaw","alabama"
"12","01","043","01043","cullman","alabama"
"13","01","061","01061","geneva","alabama"
"14","01","051","01051","elmore","alabama"
"15","01","077","01077","lauderdale","alabama"
"16","01","069","01069","houston","alabama"
"17","01","065","01065","hale","alabama"
"18","01","011","01011","bullock","alabama"
"19","01","021","01021","chilton","alabama"
"20","01","029","01029","cleburne","alabama"
"21","01","095","01095","marshall","alabama"
"22","01","073","01073","jefferson","alabama"
"23","01","125","01125","tuscaloosa","alabama"
"24","01","025","01025","clarke","alabama"
"25","01","099","01099","monroe","alabama"
"26","01","119","01119","sumter","alabama"
"27","01","127","01127","walker","alabama"
"28","01","079","01079","lawrence","alabama"
"29","01","035","01035","conecuh","alabama"
"30","01","111","01111","randolph","alabama"
"31","01","019","01019","cherokee","alabama"
"32","01","085","01085","lowndes","alabama"
"33","01","063","01063","greene","alabama"
"34","01","009","01009","blount","alabama"
"35","01","007","01007","bibb","alabama"
"36","01","055","01055","etowah","alabama"
"37","01","015","01015","calhoun","alabama"
"38","01","039","01039","covington","alabama"
"39","01","097","01097","mobile","alabama"
"40","01","053","01053","escambia","alabama"
"41","01","049","01049","dekalb","alabama"
"42","01","003","01003","baldwin","alabama"
"43","01","081","01081","lee","alabama"
"44","01","031","01031","coffee","alabama"
"45","01","033","01033","colbert","alabama"
"46","01","089","01089","madison","alabama"
"47","01","037","01037","coosa","alabama"
"48","01","109","01109","pike","alabama"
"49","01","117","01117","shelby","alabama"
"50","01","041","01041","crenshaw","alabama"
"51","01","131","01131","wilcox","alabama"
"52","01","059","01059","franklin","alabama"
"53","01","001","01001","autauga","alabama"
"54","01","121","01121","talladega","alabama"
"55","01","105","01105","perry","alabama"
"56","01","091","01091","marengo","alabama"
"57","01","129","01129","washington","alabama"
"58","01","087","01087","macon","alabama"
"59","01","123","01123","tallapoosa","alabama"
"60","01","113","01113","russell","alabama"
"61","01","083","01083","limestone","alabama"
"62","01","047","01047","dallas","alabama"
"63","01","005","01005","barbour","alabama"
"64","01","067","01067","henry","alabama"
"65","01","071","01071","jackson","alabama"
"66","01","115","01115","st. clair","alabama"
"67","01","101","01101","montgomery","alabama"
"68","02","230","02230","skagway","alaska"
"69","02","060","02060","bristol bay","alaska"
"70","02","013","02013","aleutians east","alaska"
"71","02","050","02050","bethel","alaska"
"72","02","180","02180","nome","alaska"
"73","02","150","02150","kodiak island","alaska"
"74","02","122","02122","kenai peninsula","alaska"
"75","02","164","02164","lake and peninsula","alaska"
"76","02","020","02020","anchorage","alaska"
"77","02","261","02261","valdez-cordova","alaska"
"78","02","070","02070","dillingham","alaska"
"79","02","130","02130","ketchikan gateway","alaska"
"80","02","220","02220","sitka","alaska"
"81","02","100","02100","haines","alaska"
"82","02","158","02158","kusilvak","alaska"
"83","02","282","02282","yakutat","alaska"
"84","02","105","02105","hoonah-angoon","alaska"
"85","02","110","02110","juneau","alaska"
"86","02","068","02068","denali","alaska"
"87","02","188","02188","northwest arctic","alaska"
"88","02","185","02185","north slope","alaska"
"89","02","090","02090","fairbanks north star","alaska"
"90","02","198","02198","prince of wales-hyder","alaska"
"91","02","290","02290","yukon-koyukuk","alaska"
"92","02","195","02195","petersburg","alaska"
"93","02","240","02240","southeast fairbanks","alaska"
"94","02","275","02275","wrangell","alaska"
"95","02","170","02170","matanuska-susitna","alaska"
"96","02","016","02016","aleutians west","alaska"
"97","04","019","04019","pima","arizona"
"98","04","023","04023","santa cruz","arizona"
"99","04","007","04007","gila","arizona"
"100","04","027","04027","yuma","arizona"
"101","04","003","04003","cochise","arizona"
"102","04","025","04025","yavapai","arizona"
"103","04","012","04012","la paz","arizona"
"104","04","015","04015","mohave","arizona"
"105","04","005","04005","coconino","arizona"
"106","04","011","04011","greenlee","arizona"
"107","04","009","04009","graham","arizona"
"108","04","021","04021","pinal","arizona"
"109","04","013","04013","maricopa","arizona"
"110","04","017","04017","navajo","arizona"
"111","04","001","04001","apache","arizona"
"112","05","065","05065","izard","arkansas"
"113","05","135","05135","sharp","arkansas"
"114","05","051","05051","garland","arkansas"
"115","05","109","05109","pike","arkansas"
"116","05","141","05141","van buren","arkansas"
"117","05","137","05137","stone","arkansas"
"118","05","009","05009","boone","arkansas"
"119","05","047","05047","franklin","arkansas"
"120","05","097","05097","montgomery","arkansas"
"121","05","083","05083","logan","arkansas"
"122","05","121","05121","randolph","arkansas"
"123","05","031","05031","craighead","arkansas"
"124","05","001","05001","arkansas","arkansas"
"125","05","081","05081","little river","arkansas"
"126","05","007","05007","benton","arkansas"
"127","05","019","05019","clark","arkansas"
"128","05","013","05013","calhoun","arkansas"
"129","05","085","05085","lonoke","arkansas"
"130","05","003","05003","ashley","arkansas"
"131","05","045","05045","faulkner","arkansas"
"132","05","061","05061","howard","arkansas"
"133","05","067","05067","jackson","arkansas"
"134","05","119","05119","pulaski","arkansas"
"135","05","077","05077","lee","arkansas"
"136","05","117","05117","prairie","arkansas"
"137","05","005","05005","baxter","arkansas"
"138","05","033","05033","crawford","arkansas"
"139","05","087","05087","madison","arkansas"
"140","05","011","05011","bradley","arkansas"
"141","05","021","05021","clay","arkansas"
"142","05","063","05063","independence","arkansas"
"143","05","043","05043","drew","arkansas"
"144","05","075","05075","lawrence","arkansas"
"145","05","057","05057","hempstead","arkansas"
"146","05","143","05143","washington","arkansas"
"147","05","027","05027","columbia","arkansas"
"148","05","129","05129","searcy","arkansas"
"149","05","123","05123","st. francis","arkansas"
"150","05","015","05015","carroll","arkansas"
"151","05","103","05103","ouachita","arkansas"
"152","05","131","05131","sebastian","arkansas"
"153","05","111","05111","poinsett","arkansas"
"154","05","017","05017","chicot","arkansas"
"155","05","053","05053","grant","arkansas"
"156","05","025","05025","cleveland","arkansas"
"157","05","113","05113","polk","arkansas"
"158","05","099","05099","nevada","arkansas"
"159","05","079","05079","lincoln","arkansas"
"160","05","105","05105","perry","arkansas"
"161","05","095","05095","monroe","arkansas"
"162","05","107","05107","phillips","arkansas"
"163","05","089","05089","marion","arkansas"
"164","05","149","05149","yell","arkansas"
"165","05","125","05125","saline","arkansas"
