"","year","state","state_po","county","countyFIPS","office","candidate","party","candidatevotes","totalvotes","version"
"1",2016,"Alabama","AL","Autauga",1001,"President","Hillary Clinton","1",5936,24973,20191203
"2",2016,"Alabama","AL","Autauga",1001,"President","Donald Trump","0",18172,24973,20191203
"3",2016,"Alabama","AL","Baldwin",1003,"President","Hillary Clinton","1",18458,95215,20191203
"4",2016,"Alabama","AL","Baldwin",1003,"President","Donald Trump","0",72883,95215,20191203
"5",2016,"Alabama","AL","Barbour",1005,"President","Hillary Clinton","1",4871,10469,20191203
"6",2016,"Alabama","AL","Barbour",1005,"President","Donald Trump","0",5454,10469,20191203
"7",2016,"Alabama","AL","Bibb",1007,"President","Hillary Clinton","1",1874,8819,20191203
"8",2016,"Alabama","AL","Bibb",1007,"President","Donald Trump","0",6738,8819,20191203
"9",2016,"Alabama","AL","Blount",1009,"President","Hillary Clinton","1",2156,25588,20191203
"10",2016,"Alabama","AL","Blount",1009,"President","Donald Trump","0",22859,25588,20191203
"11",2016,"Alabama","AL","Bullock",1011,"President","Hillary Clinton","1",3530,4710,20191203
"12",2016,"Alabama","AL","Bullock",1011,"President","Donald Trump","0",1140,4710,20191203
"13",2016,"Alabama","AL","Butler",1013,"President","Hillary Clinton","1",3726,8732,20191203
"14",2016,"Alabama","AL","Butler",1013,"President","Donald Trump","0",4901,8732,20191203
"15",2016,"Alabama","AL","Calhoun",1015,"President","Hillary Clinton","1",13242,47864,20191203
"16",2016,"Alabama","AL","Calhoun",1015,"President","Donald Trump","0",32865,47864,20191203
"17",2016,"Alabama","AL","Chambers",1017,"President","Hillary Clinton","1",5784,13900,20191203
"18",2016,"Alabama","AL","Chambers",1017,"President","Donald Trump","0",7843,13900,20191203
"19",2016,"Alabama","AL","Cherokee",1019,"President","Hillary Clinton","1",1547,10733,20191203
"20",2016,"Alabama","AL","Cherokee",1019,"President","Donald Trump","0",8953,10733,20191203
"21",2016,"Alabama","AL","Chilton",1021,"President","Hillary Clinton","1",2911,18369,20191203
"22",2016,"Alabama","AL","Chilton",1021,"President","Donald Trump","0",15081,18369,20191203
"23",2016,"Alabama","AL","Choctaw",1023,"President","Hillary Clinton","1",3109,7292,20191203
