"","month","origin_state","dest_state","N"
"1",1,"california","california",21319
"2",1,"virginia","maryland",117
"3",1,"virginia","florida",2627
"4",1,"virginia","illinois",1413
"5",1,"florida","georgia",5561
"6",1,"florida","maryland",1598
"7",1,"florida","new york",5453
"8",1,"oregon","california",2717
"9",1,"oregon","texas",242
"10",1,"oregon","colorado",445
"11",1,"oregon","nevada",362
"12",1,"oregon","illinois",200
"13",1,"oregon","arizona",384
"14",1,"oregon","missouri",38
"15",1,"pennsylvania","georgia",1092
"16",1,"pennsylvania","tennessee",357
"17",1,"pennsylvania","texas",867
"18",1,"pennsylvania","colorado",293
"19",1,"pennsylvania","florida",2649
"20",1,"pennsylvania","illinois",1163
"21",1,"pennsylvania","arizona",302
"22",1,"pennsylvania","missouri",244
"23",1,"arizona","new mexico",389
"24",1,"arizona","georgia",399
"25",1,"arizona","texas",2119
"26",1,"arizona","tennessee",183
"27",1,"arizona","idaho",109
"28",1,"arizona","new york",255
"29",1,"arizona","california",4528
"30",1,"arizona","maryland",97
"31",1,"arizona","ohio",104
"32",1,"arizona","colorado",1206
"33",1,"arizona","michigan",287
"34",1,"arizona","florida",394
"35",1,"arizona","washington",757
"36",1,"arizona","kansas",71
"37",1,"arizona","indiana",133
"38",1,"arizona","nevada",904
"39",1,"arizona","arkansas",11
"40",1,"arizona","missouri",363
"41",1,"arizona","illinois",817
"42",1,"arizona","wisconsin",211
"43",1,"arizona","minnesota",374
"44",1,"arizona","louisiana",85
"45",1,"arizona","oklahoma",175
"46",1,"arizona","nebraska",140
"47",1,"arizona","oregon",382
"48",1,"arizona","pennsylvania",301
"49",1,"arizona","north carolina",288
"50",1,"arizona","kentucky",93
"51",1,"arizona","utah",724
"52",1,"pennsylvania","maryland",69
"53",1,"pennsylvania","nevada",187
"54",1,"florida","tennessee",1247
"55",1,"florida","texas",4948
"56",1,"rhode island","maryland",151
"57",1,"rhode island","virginia",292
"58",1,"rhode island","florida",400
"59",1,"rhode island","illinois",121
"60",1,"maine","maryland",91
"61",1,"north carolina","georgia",2172
"62",1,"north carolina","texas",1383
"63",1,"north carolina","tennessee",988
"64",1,"north carolina","maryland",531
"65",1,"north carolina","colorado",361
"66",1,"north carolina","florida",4125
"67",1,"north carolina","nevada",248
"68",1,"north carolina","missouri",468
"69",1,"north carolina","illinois",956
"70",1,"north carolina","arizona",289
"71",1,"virginia","georgia",2007
"72",1,"nevada","colorado",780
"73",1,"nevada","nevada",680
"74",1,"nevada","california",4930
"75",1,"nevada","arizona",897
"76",1,"new york","maryland",583
"77",1,"new york","florida",5484
"78",1,"florida","connecticut",705
"79",1,"florida","ohio",1320
"80",1,"florida","indiana",809
"81",1,"florida","illinois",3216
"82",1,"florida","wisconsin",357
"83",1,"florida","pennsylvania",2668
"84",1,"florida","missouri",843
"85",1,"california","new mexico",286
"86",1,"california","georgia",1347
"87",1,"california","texas",5543
"88",1,"california","tennessee",367
"89",1,"california","idaho",561
"90",1,"california","maryland",311
"91",1,"california","colorado",3571
"92",1,"california","washington",4022
"93",1,"california","nevada",4895
"94",1,"california","missouri",606
"95",1,"california","illinois",2171
"96",1,"california","nebraska",118
"97",1,"california","oregon",2772
"98",1,"california","arizona",4556
"99",1,"california","utah",2580
"100",1,"california","florida",1275
"101",1,"texas","georgia",2397
"102",1,"texas","tennessee",1658
"103",1,"texas","maryland",603
"104",1,"texas","texas",17253
"105",1,"texas","colorado",3069
"106",1,"texas","florida",4924
"107",1,"texas","nevada",1697
"108",1,"texas","california",5517
"109",1,"texas","missouri",1900
"110",1,"texas","illinois",2301
"111",1,"texas","louisiana",2538
"112",1,"texas","arizona",2144
"113",1,"kentucky","maryland",216
"114",1,"kentucky","texas",690
"115",1,"kentucky","colorado",167
"116",1,"kentucky","nevada",103
"117",1,"kentucky","florida",855
"118",1,"kentucky","illinois",925
"119",1,"kentucky","arizona",93
"120",1,"washington","maryland",35
"121",1,"washington","texas",582
"122",1,"washington","colorado",742
"123",1,"washington","nevada",794
"124",1,"washington","illinois",432
"125",1,"washington","california",4037
"126",1,"washington","arizona",757
"127",1,"washington","missouri",148
"128",1,"california","hawaii",2329
"129",1,"puerto rico","maryland",99
"130",1,"puerto rico","florida",1305
"131",1,"puerto rico","illinois",76
"132",1,"utah","california",2578
"133",1,"utah","maryland",62
"134",1,"utah","texas",759
"135",1,"utah","colorado",969
"136",1,"utah","nevada",517
"137",1,"utah","illinois",368
"138",1,"utah","arizona",721
"139",1,"missouri","georgia",726
"140",1,"missouri","texas",1920
"141",1,"missouri","connecticut",30
"142",1,"missouri","tennessee",158
"143",1,"missouri","massachusetts",140
"144",1,"missouri","maryland",147
"145",1,"missouri","ohio",132
"146",1,"missouri","virginia",425
"147",1,"missouri","colorado",640
"148",1,"missouri","iowa",57
"149",1,"missouri","michigan",299
"150",1,"missouri","florida",844
"151",1,"missouri","kansas",58
"152",1,"missouri","nevada",262
"153",1,"missouri","california",566
"154",1,"missouri","new york",490
"155",1,"missouri","arkansas",56
"156",1,"missouri","missouri",206
"157",1,"missouri","illinois",1206
"158",1,"missouri","wisconsin",104
"159",1,"missouri","minnesota",414
"160",1,"missouri","louisiana",98
"161",1,"missouri","oklahoma",117
"162",1,"missouri","nebraska",64
"163",1,"missouri","oregon",38
"164",1,"missouri","pennsylvania",265
"165",1,"missouri","arizona",365
"166",1,"missouri","north carolina",466
"167",1,"missouri","washington",148
"168",1,"florida","alabama",177
"169",1,"florida","virginia",2635
"170",1,"florida","colorado",1119
"171",1,"florida","florida",2746
"172",1,"florida","nevada",400
"173",1,"florida","california",1272
"174",1,"florida","new hampshire",121
"175",1,"florida","louisiana",553
"176",1,"florida","arizona",395
"177",1,"florida","rhode island",399
"178",1,"florida","north carolina",4110
"179",1,"florida","kentucky",858
"180",1,"florida","puerto rico",1302
"181",1,"oklahoma","texas",1457
"182",1,"oklahoma","colorado",305
"183",1,"oklahoma","nevada",117
"184",1,"oklahoma","arizona",176
"185",1,"oklahoma","missouri",113
"186",1,"new mexico","texas",825
"187",1,"new mexico","maryland",31
"188",1,"new mexico","colorado",204
"189",1,"new mexico","nevada",121
"190",1,"new mexico","california",283
"191",1,"new mexico","missouri",24
"192",1,"new mexico","illinois",112
"193",1,"new mexico","arizona",369
"194",1,"new york","illinois",2209
"195",1,"georgia","texas",2384
"196",1,"georgia","tennessee",1396
"197",1,"georgia","maryland",502
"198",1,"georgia","ohio",796
"199",1,"georgia","virginia",2014
"200",1,"georgia","colorado",596
"201",1,"georgia","florida",5533
"202",1,"georgia","south carolina",1082
"203",1,"georgia","indiana",653
"204",1,"georgia","nevada",392
"205",1,"georgia","california",1346
"206",1,"georgia","new york",1805
"207",1,"georgia","missouri",762
"208",1,"georgia","illinois",1246
"209",1,"georgia","wisconsin",420
"210",1,"georgia","louisiana",1098
"211",1,"georgia","pennsylvania",1055
"212",1,"georgia","arizona",402
"213",1,"georgia","north carolina",2169
"214",1,"texas","new mexico",822
"215",1,"texas","new york",1595
"216",1,"texas","arkansas",1059
"217",1,"texas","wisconsin",282
"218",1,"texas","minnesota",728
"219",1,"texas","nebraska",324
"220",1,"texas","pennsylvania",874
"221",1,"texas","north carolina",1383
"222",1,"texas","kentucky",687
"223",1,"texas","utah",759
"224",1,"louisiana","texas",2509
"225",1,"louisiana","virginia",250
"226",1,"louisiana","colorado",240
"227",1,"louisiana","florida",569
"228",1,"louisiana","nevada",83
"229",1,"louisiana","california",303
"230",1,"louisiana","new york",236
"231",1,"louisiana","missouri",98
"232",1,"louisiana","illinois",246
"233",1,"louisiana","arizona",65
"234",1,"california","minnesota",731
"235",1,"california","louisiana",302
"236",1,"hawaii","hawaii",6064
"237",1,"hawaii","california",2328
"238",1,"oklahoma","tennessee",27
"239",1,"oklahoma","maryland",28
"240",1,"oklahoma","virginia",92
"241",1,"nebraska","texas",323
"242",1,"nebraska","virginia",53
"243",1,"nebraska","colorado",407
"244",1,"nebraska","nevada",104
"245",1,"nebraska","illinois",432
"246",1,"nebraska","arizona",146
"247",1,"nebraska","california",118
"248",1,"nebraska","missouri",63
"249",1,"utah","missouri",167
"250",1,"missouri","utah",165
"251",1,"texas","virginia",1455
"252",1,"connecticut","maryland",147
"253",1,"connecticut","florida",709
"254",1,"connecticut","illinois",235
"255",1,"connecticut","missouri",30
"256",1,"alabama","maryland",31
"257",1,"alabama","texas",930
"258",1,"alabama","nevada",27
"259",1,"alabama","florida",179
"260",1,"alabama","illinois",241
"261",1,"tennessee","georgia",1391
"262",1,"tennessee","texas",1677
"263",1,"tennessee","massachusetts",224
"264",1,"tennessee","maryland",234
"265",1,"tennessee","south carolina",37
"266",1,"tennessee","ohio",102
"267",1,"tennessee","north carolina",939
"268",1,"tennessee","virginia",547
"269",1,"tennessee","colorado",368
"270",1,"tennessee","michigan",441
"271",1,"tennessee","florida",1255
"272",1,"tennessee","nevada",159
"273",1,"tennessee","california",391
"274",1,"tennessee","new york",830
"275",1,"tennessee","missouri",153
"276",1,"tennessee","illinois",843
"277",1,"tennessee","wisconsin",57
"278",1,"tennessee","minnesota",272
"279",1,"tennessee","louisiana",132
"280",1,"tennessee","oklahoma",27
"281",1,"tennessee","pennsylvania",370
"282",1,"tennessee","arizona",179
"283",1,"idaho","colorado",233
"284",1,"idaho","washington",310
"285",1,"idaho","nevada",80
"286",1,"idaho","california",597
"287",1,"idaho","arizona",110
"288",1,"massachusetts","tennessee",207
"289",1,"massachusetts","maryland",379
"290",1,"massachusetts","ohio",271
"291",1,"massachusetts","colorado",244
"292",1,"massachusetts","illinois",711
"293",1,"massachusetts","missouri",142
"294",1,"new york","nevada",334
"295",1,"maryland","new mexico",31
"296",1,"maryland","new york",596
"297",1,"maryland","georgia",503
"298",1,"maryland","texas",620
"299",1,"maryland","connecticut",152
"300",1,"maryland","alabama",30
"301",1,"maryland","tennessee",219
"302",1,"maryland","massachusetts",363
"303",1,"maryland","south carolina",134
"304",1,"maryland","ohio",159
"305",1,"maryland","north carolina",553
"306",1,"maryland","kentucky",214
"307",1,"maryland","colorado",222
"308",1,"maryland","michigan",267
"309",1,"maryland","florida",1591
"310",1,"maryland","indiana",89
"311",1,"maryland","nevada",151
"312",1,"maryland","california",316
"313",1,"maryland","missouri",127
"314",1,"maryland","illinois",383
"315",1,"maryland","new hampshire",126
"316",1,"maryland","wisconsin",60
