"","year","state","state_po","stateFIPS","state_cen","state_ic","office","candidate","party","writein","candidatevotes","totalvotes","version","notes","vote_pct","democrat"
"1",2016,"Alabama","AL",1,63,41,"US President","Trump, Donald J.","republican",FALSE,1318255,2123372,20171015,NA,0.620830923644091,0
"2",2016,"Alabama","AL",1,63,41,"US President","Clinton, Hillary","democrat",FALSE,729547,2123372,20171015,NA,0.343579457579736,1
"3",2016,"Alabama","AL",1,63,41,"US President","Johnson, Gary","libertarian",FALSE,44467,2123372,20171015,NA,0.0209416908577489,0
"4",2016,"Alabama","AL",1,63,41,"US President","","",TRUE,21712,2123372,20171015,NA,0.0102252455057333,0
"5",2016,"Alabama","AL",1,63,41,"US President","Stein, Jill","green",FALSE,9391,2123372,20171015,NA,0.00442268241269076,0
"6",2016,"Alaska","AK",2,94,81,"US President","Trump, Donald J.","republican",FALSE,163387,318608,20171015,NA,0.512815120775373,0
"7",2016,"Alaska","AK",2,94,81,"US President","Clinton, Hillary","democrat",FALSE,116454,318608,20171015,NA,0.36550871290112,1
"8",2016,"Alaska","AK",2,94,81,"US President","Johnson, Gary","libertarian",FALSE,18725,318608,20171015,NA,0.0587712800682971,0
"9",2016,"Alaska","AK",2,94,81,"US President","","",TRUE,9201,318608,20171015,NA,0.0288787475518506,0
"10",2016,"Alaska","AK",2,94,81,"US President","Stein, Jill","green",FALSE,5735,318608,20171015,NA,0.0180001757645759,0
"11",2016,"Alaska","AK",2,94,81,"US President","Castle, Darrell L.","constitution party",FALSE,3866,318608,20171015,NA,0.0121340330437403,0
"12",2016,"Alaska","AK",2,94,81,"US President","De La Fuente, Roque """"""""Rocky""""""""","no party affiliation",FALSE,1240,318608,20171015,NA,0.00389192989504344,0
"13",2016,"Arizona","AZ",4,86,61,"US President","Trump, Donald J.","republican",FALSE,1252401,2573165,20171015,NA,0.48671616472321,0
"14",2016,"Arizona","AZ",4,86,61,"US President","Clinton, Hillary","democrat",FALSE,1161167,2573165,20171015,NA,0.451260218446932,1
"15",2016,"Arizona","AZ",4,86,61,"US President","Johnson, Gary","libertarian",FALSE,106327,2573165,20171015,NA,0.0413214854080481,0
"16",2016,"Arizona","AZ",4,86,61,"US President","Stein, Jill","green",FALSE,34345,2573165,20171015,NA,0.0133473757026852,0
"17",2016,"Arizona","AZ",4,86,61,"US President","","independent",TRUE,17473,2573165,20171015,NA,0.00679047010199501,0
"18",2016,"Arizona","AZ",4,86,61,"US President","Castle, Darrell L.","constitution party",TRUE,1058,2573165,20171015,NA,0.00041116679264641,0
"19",2016,"Arizona","AZ",4,86,61,"US President","","no party affiliation",TRUE,311,2573165,20171015,NA,0.000120862828462225,0
"20",2016,"Arizona","AZ",4,86,61,"US President","","democrat",TRUE,42,2573165,20171015,NA,1.63223112392715e-05,1
"21",2016,"Arizona","AZ",4,86,61,"US President","De La Fuente, Roque """"""""Rocky""""""""","american delta party",TRUE,29,2573165,20171015,NA,1.12701672842589e-05,0
"22",2016,"Arizona","AZ",4,86,61,"US President","Tittle, Sheila """"""""Samm""""""""","we the people",TRUE,12,2573165,20171015,NA,4.66351749693471e-06,0
"23",2016,"Arkansas","AR",5,71,42,"US President","Trump, Donald J.","republican",FALSE,684872,1130635,20171015,NA,0.605741021638283,0
"24",2016,"Arkansas","AR",5,71,42,"US President","Clinton, Hillary","democrat",FALSE,380494,1130635,20171015,NA,0.336531241293609,1
"25",2016,"Arkansas","AR",5,71,42,"US President","Johnson, Gary","libertarian",FALSE,29829,1130635,20171015,NA,0.0263825195575937,0
