"","countyFIPS","state_po","State","county","candidatevotes","totalvotes","population","democrat","vote_pct","total_cases_pc","total_deaths_pc"
"1",1001,"AL","AL","Autauga",5936,24973,55869,1,0.237696712449445,0.0299450500277435,0.00044747534410854
"2",1003,"AL","AL","Baldwin",18458,95215,223234,1,0.193856010082445,0.0226085632116971,0.000219500613705797
"3",1005,"AL","AL","Barbour",4871,10469,24686,1,0.465278441111854,0.0336222960382403,0.000283561532852629
"4",1007,"AL","AL","Bibb",1874,8819,22394,1,0.212495747817213,0.0280432258640707,0.000446548182548897
"5",1009,"AL","AL","Blount",2156,25588,57826,1,0.0842582460528373,0.026666205513091,0.000242105627226507
"6",1011,"AL","AL","Bullock",3530,4710,10101,1,0.749469214437367,0.0579150579150579,0.00138600138600139
"7",1013,"AL","AL","Butler",3726,8732,19448,1,0.426706367384333,0.0466886055121349,0.00195392842451666
"8",1015,"AL","AL","Calhoun",13242,47864,113605,1,0.276658866789236,0.0292240658421724,0.000352097178821355
"9",1017,"AL","AL","Chambers",5784,13900,33254,1,0.416115107913669,0.0337703734889036,0.00126300595417093
"10",1019,"AL","AL","Cherokee",1547,10733,26196,1,0.144134911022081,0.0211864406779661,0.000610780271797221
"11",1021,"AL","AL","Chilton",2911,18369,44428,1,0.158473515161413,0.0331097506077249,0.000630233186278923
"12",1023,"AL","AL","Choctaw",3109,7292,12589,1,0.426357652221613,0.0273254428469299,0.000953213122567321
"13",1025,"AL","AL","Clarke",5749,13031,23622,1,0.441178727649451,0.0444077554821776,0.000719668106002879
"14",1027,"AL","AL","Clay",1237,6624,13235,1,0.186745169082126,0.0404986777483944,0.000528900642236494
"15",1029,"AL","AL","Cleburne",684,6593,14910,1,0.103746397694524,0.0214621059691482,0.000402414486921529
"16",1031,"AL","AL","Coffee",4221,20767,52342,1,0.203255164443588,0.0242634977647014,0.000152840930801269
"17",1033,"AL","AL","Colbert",7312,24915,55241,1,0.293477824603652,0.0288372766604515,0.000470664904690357
"18",1035,"AL","AL","Conecuh",3080,6585,12067,1,0.467729688686409,0.0433413441617635,0.000911577028258888
"19",1037,"AL","AL","Coosa",1782,5252,10663,1,0.339299314546839,0.0150989402607146,0.000281346712932571
