"","stateFIPS","state_po","party","candidatevotes","totalvotes","population","vote_pct","democrat","total_deaths","total_cases","total_cases_pc","total_deaths_pc"
"1",1,"AL","democrat",729547,2123372,4903185,0.343579457579736,1,2457,144164,0.0294021131162703,0.000501102854573099
"2",2,"AK","democrat",116454,318608,731545,0.36550871290112,1,45,6743,0.00921747807722013,6.15136457770882e-05
"3",4,"AZ","democrat",1161209,5146330,7278717,0.225638270379086,1,5498,213551,0.0293390991846503,0.000755352900792818
"4",5,"AR","democrat",380494,1130635,3017804,0.336531241293609,1,1209,75160,0.0249055273304694,0.000400622439363193
"5",6,"CA","democrat",8753788,14181595,39512223,0.617263996045579,1,15203,783849,0.019838139706794,0.000384767012476114
"6",8,"CO","democrat",1338870,2780220,5758736,0.481569803828474,1,2025,64356,0.011175369039317,0.000351639665371012
"7",9,"CT","democrat",897572,1644920,3565287,0.545663010967099,1,4496,55527,0.0155743422619273,0.00126104854952771
"8",10,"DE","democrat",235603,441590,973764,0.533533368056342,1,628,19449,0.0199730119412917,0.000644920124383321
"9",11,"DC","democrat",282830,312575,705749,0.904838838678717,1,621,14902,0.0211151556714923,0.000879916230841276
"10",12,"FL","democrat",4504975,9420039,21477737,0.478233158058051,1,13416,681233,0.0317180995372092,0.000624646814513093
"11",13,"GA","democrat",1877963,4114732,10617423,0.456399833573608,1,6677,305021,0.0287283458519078,0.000628871996528724
"12",15,"HI","democrat",266891,437664,1415872,0.60980798055129,1,120,11326,0.00799931067215115,8.47534240383311e-05
"13",16,"ID","democrat",189765,690255,1787065,0.274920138209792,1,451,37247,0.0208425546916313,0.000252369108006704
"14",17,"IL","democrat",3090729,5536424,12671821,0.558253666987933,1,8486,272843,0.0215314752315393,0.000669674863620627
"15",18,"IN","democrat",1033126,2734958,6732219,0.37774839686752,1,3520,113181,0.0168118416825121,0.000522858807771999
"16",19,"IA","democrat",653669,1565580,3155070,0.417525134454962,1,1285,79128,0.0250796337323736,0.000407280979502832
"17",20,"KS","democrat",427005,1184402,2913314,0.360523707322345,1,607,52684,0.0180838728678062,0.000208353785414137
"18",21,"KY","democrat",628854,1924149,4467673,0.326821883336478,1,1119,61106,0.0136773662709872,0.000250465958453092
"19",22,"LA","democrat",780154,2029032,4648794,0.38449566098514,1,5218,160283,0.0344784045066312,0.00112244164830707
"20",23,"ME","democrat",357735,771892,1344212,0.46345214097309,1,140,5035,0.00374568892406852,0.000104150238206473
"21",24,"MD","democrat",1678006,5562892,6045680,0.301642742659753,1,3949,119744,0.0198065395455929,0.000653193685408424
