Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,142,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,655,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,1699,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,4724,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,11314,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,18305,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,21231,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,21725,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,2,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,All ages,79797,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,29,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,72,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,162,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,458,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,1729,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,3820,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,5080,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,4677,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,1,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All ages,16028,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,71,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,270,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,707,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,2033,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,4335,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,6500,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,5939,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,4698,
